text,subjectivity_score,objectivity_score
cercaan,0.3333333333333333,0.6666666666666666
sekop,0.3333333333333333,0.6666666666666666
turis,0.0,1.0
reseksi,0.0,1.0
jalan,0.25,0.75
pelawak,0.0,1.0
bunuh diri,0.0,1.0
kesabaran,0.5,0.5
memuji,1.0,0.0
kritik,0.6666666666666666,0.3333333333333333
badut,0.0,1.0
toko daging,0.3333333333333333,0.6666666666666666
tangguh,0.0,1.0
per tempat tidur,0.0,1.0
ketidakadilan,1.0,0.0
desa,0.0,1.0
antek,1.0,0.0
kesalahan,0.4285714285714285,0.5714285714285714
membutuhkan,0.5,0.5
ikan teri,0.0,1.0
penjahat,0.25,0.75
penekanan,0.25,0.75
seksi,1.0,0.0
siksaan,0.5,0.5
keumuman,0.0,1.0
lesbian,0.0,1.0
melunakkan,0.6666666666666666,0.3333333333333333
limbah,0.75,0.25
ikan kotak,0.0,1.0
pita,0.0,1.0
sikap tunduk,1.0,0.0
beban kerja,0.0,1.0
fantasi,0.5,0.5
tong,0.0,1.0
draf,0.0,1.0
moralitas,1.0,0.0
korupsi,0.6666666666666666,0.3333333333333333
khlorida,0.0,1.0
menyelinap,0.5,0.5
kohesi,0.0,1.0
brutal,0.3333333333333333,0.6666666666666666
mengaduk,1.0,0.0
belas kasihan,1.0,0.0
membina,1.0,0.0
kecenderungan,0.4,0.6
katalog,0.0,1.0
kotor,0.5,0.5
bagian belakang,0.0,1.0
merasa,1.0,0.0
iblis,0.5,0.5
kesehatan,0.3333333333333333,0.6666666666666666
kezaliman,0.0,1.0
tidak bersalah,0.5,0.5
diinginkan,0.0,1.0
ketajaman,0.5,0.5
ketidakjujuran,1.0,0.0
mendidih,0.0,1.0
membela,0.3333333333333333,0.6666666666666666
menggeram,1.0,0.0
lubang mata-mata,0.0,1.0
ekstrim,0.5,0.5
Oxford,0.0,1.0
gemuruh,0.0,1.0
pengurangan,0.0,1.0
tidak sopan,1.0,0.0
air laut,0.0,1.0
api,0.5,0.5
bencana,0.75,0.25
strontium,0.0,1.0
memperdaya,0.1428571428571428,0.8571428571428571
melangkah,0.0,1.0
mengabaikan,1.0,0.0
ekor bulu,0.0,1.0
murni,0.0,1.0
pembuatan,0.0,1.0
regresi,0.5,0.5
keyakinan,1.0,0.0
kembali,0.3,0.7
pemborosan,1.0,0.0
pendukung,0.0,1.0
pendapat,0.5,0.5
persemaian,0.5,0.5
dalam,0.4,0.6
ketukan genderang,0.0,1.0
amnesti,0.0,1.0
tentara salib,0.0,1.0
sion,1.0,0.0
permusuhan,0.75,0.25
kebanggaan,0.8,0.2
jalan lain,0.0,1.0
menghindari,0.6666666666666666,0.3333333333333333
keabsahan,1.0,0.0
lulus,0.0,1.0
menjemput,0.0,1.0
promotor,0.0,1.0
ekstasi,0.5,0.5
pandangan,1.0,0.0
kebenaran,1.0,0.0
turun,0.0,1.0
kebuntuan,0.0,1.0
tidak terputus,0.0,1.0
gangguan,0.4666666666666667,0.5333333333333333
taplak meja,0.0,1.0
kiamat,0.5,0.5
ledakan,0.0,1.0
lengan,0.0,1.0
elan,1.0,0.0
kejayaan,0.6666666666666666,0.3333333333333333
cemerlang,0.6363636363636364,0.3636363636363636
penggiling,0.0,1.0
keracunan,1.0,0.0
dermawan,1.0,0.0
candaan,1.0,0.0
radikal,0.0,1.0
osilasi,0.0,1.0
godaan,1.0,0.0
kubik,0.0,1.0
ketidaklogisan,1.0,0.0
kotak surat,0.0,1.0
jalan keluar,0.0,1.0
perjanjian,0.5,0.5
hak istimewa,0.0,1.0
dorongan,1.0,0.0
ketukan,0.5,0.5
pipi,0.0,1.0
distrofi,0.0,1.0
sampah,0.5,0.5
rasa tidak hormat,1.0,0.0
kepuasan,0.6666666666666666,0.3333333333333333
kemerosotan,0.0,1.0
puncak,0.3333333333333333,0.6666666666666666
setan,0.6666666666666666,0.3333333333333333
individualitas,0.5,0.5
tukang suap,0.0,1.0
menyebabkan,0.0,1.0
berbohong,0.0,1.0
agitasi,0.75,0.25
sakit kepala,0.5,0.5
kepercayaan,0.0,1.0
penyitaan,0.0,1.0
konjungtivitis,0.0,1.0
anak cucu,0.0,1.0
pembaruan,1.0,0.0
jalan buntu,0.5,0.5
biasa-biasa saja,1.0,0.0
homogen,0.0,1.0
reduktor,0.0,1.0
kilau,0.3333333333333333,0.6666666666666666
tikus,0.1666666666666666,0.8333333333333334
tepat,0.3333333333333333,0.6666666666666666
berdiri,0.3333333333333333,0.6666666666666666
keuntungan,0.3333333333333333,0.6666666666666666
bantuan,0.2,0.8
landasan,0.3333333333333333,0.6666666666666666
liar,0.0,1.0
tuduhan,0.0,1.0
laguna,0.0,1.0
perlindungan,0.3333333333333333,0.6666666666666666
insentif,0.0,1.0
sikap keras kepala,1.0,0.0
kehebohan,0.0,1.0
depresi,0.2222222222222222,0.7777777777777778
baji,0.0,1.0
kesenangan,0.8333333333333334,0.1666666666666666
