teks,is_left,is_center,is_right,is_biased
YouTube memperjelas bahwa tidak akan ada “birtherisme” di platformnya selama pemilihan presiden AS tahun ini – sebuah respons yang terlambat terhadap jenis teori konspirasi yang lebih umum terjadi pada pemilu tahun 2012.,0,1,0,1
"Jadi, meskipun ada krisis kemanusiaan yang mendorong orang-orang yang lebih rentan untuk mencari suaka di Amerika Serikat, krisis keamanan sebenarnya tidak terjadi.",1,0,0,1
"Di Amerika Serikat, tidak ada cukup kesejahteraan bagi kaum kiri untuk berhenti membunuh manusia dalam kandungan—negara-negara Demokrat memimpin negara ini dalam hal tingkat aborsi.",0,0,1,1
Presiden Partai Republik tersebut berasumsi bahwa ia membantu industri dengan mengorbankan lingkungan – sebuah trade-off yang dengan senang hati dilakukan oleh Trump karena ia menolak ilmu pengetahuan tentang iklim.,1,0,0,1
Ledakan populasi Hispanik juga mempunyai konsekuensi prospek kerja jangka panjang: Baik orang asing legal maupun ilegal akan menempati 75 persen lapangan kerja baru di Amerika hanya dalam waktu lima tahun.,0,0,1,1
"Gerakan anti-vaksin menjadi berita utama pada musim semi lalu, ketika ketidakpercayaan yang meluas terhadap industri farmasi dan keyakinan bahwa vaksin dapat menyebabkan autisme pada anak-anak menyebabkan wabah campak.",0,1,0,1
"Pemungutan suara di lingkungan semi-militerisasi tidak hanya terjadi di ibu kota negara. Di Philadelphia, pada malam pemilu, wali kota mengumumkan jam malam yang dijadwalkan berlaku satu jam sebelum pemungutan suara ditutup, namun kemudian ditunda setelah mendapat protes dari pejabat dan aktivis kota lainnya.",1,0,0,1
"Namun salah satu orang yang paling tidak hadir adalah Trump, yang tidak hanya menolak undangan tetapi juga tidak mengirim perwakilan Amerika sama sekali.",1,0,0,1
"Dari Lembah Rio Grande di Texas hingga pesisir California Selatan, pemerintahan Trump terus memisahkan keluarga migran dengan tingkat yang mengkhawatirkan para pengacara dan advokat imigrasi, meskipun hakim federal melarang pemisahan keluarga sebagai kebijakan yang sistemik.",0,1,0,1
"Atlet atletik biasanya tidak mendapatkan gaji yang menguntungkan seperti yang terlihat di NBA, NFL, tenis, atau sepak bola internasional.",1,0,0,1
"Dengan kata lain, lembaga yang bertanggung jawab melindungi konsumen kini ingin memudahkan mereka terjebak dalam siklus utang yang tidak pernah bisa mereka bayar kembali.",1,0,0,1
"Seorang pendeta Katolik di Rhode Island yang melarang anggota parlemen negara bagian yang mendukung undang-undang hak aborsi untuk menerima komuni di gerejanya, menegaskan kembali pendiriannya, dengan mengatakan bahwa aborsi lebih buruk daripada pedofilia.",1,0,0,1
Sekutu anti-vaksin Gwyneth Paltrow mendapat kecaman karena 'klaim pseudo-ilmiah yang didiskreditkan' tentang virus corona,1,0,0,1
"Lebih dari 100 anggota geng dari El Salvador termasuk di antara gelombang besar migran yang mengalir melintasi perbatasan dalam beberapa bulan terakhir, dengan hampir 400 imigran ilegal ditangkap saat mencoba menyeberang secara massal minggu lalu dan sekelompok lebih dari 100 orang tertangkap sedang memanjat tembok pada hari Senin. kata pejabat perbatasan yang terkepung.",0,0,1,1
Karya Gadsby merupakan bukti betapa bersemangatnya para penentu budaya kita melahap dan meninggikan karya yang secara meyakinkan mengaku progresif.,0,0,1,1
Hal ini menyebabkan beberapa penentang vaksin bergabung dengan para pengunjuk rasa – yang didorong oleh Trump di Twitter – dalam melakukan demonstrasi di ibu kota negara bagian untuk “membuka kembali Amerika.”,1,0,0,1
