text,is_subjective
"dia berjalan dengan dingin sepanjang harinya, mengabaikannya, menjalankan urusannya.",0
"tambor dan clayburgh merupakan pasangan yang menarik dia bersahaja dan sinis, dia sangat maniak dan energik. keduanya berhak mendapatkan yang lebih baik.",1
"serba cepat dan diedit dengan luar biasa, film ini sangat teliti.",1
Pembantu pembunuh tidak memberikan pukulan apa pun dalam penggambaran kehidupan saudara perempuan papin dan peristiwa-peristiwa yang menyebabkan keburukan mereka meningkat. . .,1
sejak saat itu tidak ada yang seperti sebelumnya. . .,0
"tidak ada satu momen pun yang berlalu ketika dia tidak terlihat di depan kamera, baik di tempat kerja maupun di rumah.",0
"Tonho yang pemalu bermimpi menjadi sukses, tetapi merindukan keluarganya dan Brasil.",0
"jika ayurveda dapat membantu kita kembali ke pola makan, tidur, dan kontemplasi yang mengurangi stres, itu jelas merupakan hal yang baik.",1
"di dalam diri kita, teater roger mungkin merupakan teman yang tidak dapat ditoleransi, tetapi di dalamnya dia layak untuk menghabiskan waktu bersama.",1
nama tersebut merujuk pada pegunungan hijau yang mereka rasakan sebagai tempat mereka didorong masuk (keluar dari rumah baru mereka).,0
bella adalah gambaran kesehatan dengan energi tak terbatas hingga beberapa hari sebelum meninggal. ini benar-benar menggelikan dan menghina setiap keluarga yang ibunya menderita kesakitan yang luar biasa karena kematian akibat kanker.,1
"dihadapkan pada tuntutan hukum sebesar $10 juta, departemen setuju untuk membiarkan produser mengejar penyelidikan Renzi Film Mitch untuk sebuah acara TV realitas baru, dan terus-menerus mencoba membuat segalanya lebih ""ramah pemirsa"" dengan mengubah segala sesuatu tentang kehidupan Mitch agar sesuai dengan pandangan stereotip petugas polisi --dan bermitra dengannya dengan trey.",0
upaya yang diproduksi secara berlebihan dan umumnya mengecewakan ini sepertinya tidak akan membangkitkan semangat pengunjung pada jam sibuk.,1
lelucon-lelucon itu sudah dikirim melalui telegram jauh sebelumnya sehingga pasti hilang melalui pos.,1
"Dantes dipenjarakan di penjara pulau chateau d'lf selama 13 tahun, di mana dia merencanakan balas dendam terhadap orang-orang yang mengkhianatinya.",0
mereka menyelesaikan masalah (agaknya) pada malam hari di ruang gawat darurat.,0
"begitu ia mulai belajar berkompromi dengan kenyataan agar menjadi relatif waras dan sehat, film tersebut bisa dibilang menjadi konvensional.",1
"saat menyelidiki cerita sampul karier tentang seorang miliarder misterius (jason Priestley), dia mendapati dirinya dituduh melakukan pembunuhan.",0
cerita dan persahabatan berlangsung sedemikian rupa sehingga Anda sedang menonton sinetron daripada kronik naik turunnya persahabatan seumur hidup.,1
masing-masing pelaku memiliki cara yang sangat berbeda dalam menghadapinya.,0
"dan meskipun billy tidak menginginkan jackson, dua orang lainnya menginginkannya: derek, pelanggan toko kaset yang rapi, dan sam, pemilik toko kaset yang jujur.",0
"di kota yang memiliki niat baik, karakter yang mengesankan, dan tidak banyak hal yang dapat dilakukan, kebenaran memiliki cara untuk mengejar Anda.",0
semua upaya bunuh diri secara lucu bertentangan dengan tuntutan masing-masing anggota keluarga.,0
"ribuan pengungsi asal Yahudi memadati tempat penampungan di Wina dan Bratislava dengan harapan bisa menaiki beberapa perahu yang tersedia untuk melarikan diri, menyusuri sungai Donau dan keluar ke Palestina, dari kemarahan Nazi.",0
orang tidak dapat menghilangkan perasaan bahwa persimpangan jalan tidak lebih dari iklan berdurasi satu setengah jam untuk album terbaru britney.,1
"setiap visi menunjukkan sang putra pada usia yang berbeda dan pada tahap yang berbeda dalam mengejar cinta seumur hidupnya, isabelle.",0
"istimewa dan populer, deanna sangat berbeda dari alicia yang terasing.",0
"diambil dari hampir dua tahun pembuatan film, wawancara jujur ​​dari film dokumenter tersebut, momen lirik dari keindahan yang suram, dan cuplikan video yang kuat membawa kita melampaui stereotip umum dunia rap dan masuk ke dalam kehidupan tislam milliner, seorang rapper yang sedang berjuang dan berambisi untuk berhasil. dari "" kap "" .",0
"sekelompok perampok, dipimpin oleh penjahat karir charlie croker, menciptakan kemacetan lalu lintas terbesar dalam sejarah los angeles, memberi mereka waktu untuk melakukan pencurian emas batangan.",0
"di tempat yang jauh, jauh sekali, eksperimen genetik ilegal #626 terdeteksi: ilmuwan kejam dr. jumba jookiba telah menciptakan makhluk yang kuat, cerdas, hampir tidak bisa dihancurkan, dan agresif dengan hanya satu kelemahan yang diketahui: kepadatan tubuhnya yang tinggi membuat percobaan tidak mungkin dilakukan untuk berenang di air.",0
"hampir seluruhnya menghilangkan unsur-unsur seperti ketelanjangan, kata-kata kotor dan kekerasan, labute berhasil menyampaikan beberapa poin tentang manusia modern dan pencarian problematisnya dalam menjalin hubungan antarmanusia.",1
ketimpangan judulnya seharusnya memberi petunjuk kepada Anda betapa buruknya film tersebut.,1
tidak ada yang lebih dari sebuah bukti hormat atas dorongan kreatif yang cerdik dari pihak luar.,1
semakin banyak bukti tentang peran satu orang dalam sejarah panjang pelanggaran hak asasi manusia mengarah pada pemeriksaan kritis terhadap diplomasi Amerika melalui kacamata standar keadilan internasional.,0
