text,subjectivity_score,objectivity_score
alam,0.2,0.8
nalar,0.8181818181818182,0.1818181818181818
minat,0.1666666666666666,0.8333333333333334
brutal,0.3333333333333333,0.6666666666666666
menerima,0.5,0.5
alarm,0.25,0.75
membuka,0.2857142857142857,0.7142857142857143
alasan,0.6666666666666666,0.3333333333333333
menghancurkan,0.25,0.75
Akhirnya,0.3333333333333333,0.6666666666666666
komitmen,0.5,0.5
tinggi,0.2857142857142857,0.7142857142857143
tempat berlindung,0.0,1.0
berbohong,0.3333333333333333,0.6666666666666666
lebih tepatnya,0.75,0.25
perdamaian,0.4,0.6
membutuhkan,0.5,0.5
perbedaan,0.4,0.6
menyortir,0.3333333333333333,0.6666666666666666
memengaruhi,0.5,0.5
rentetan,0.5,0.5
menempati,0.2857142857142857,0.7142857142857143
juga,0.5,0.5
kesulitan,0.0,1.0
reaksi,0.4285714285714285,0.5714285714285714
penting,0.8,0.2
bekerja,0.3243243243243243,0.6756756756756757
Sebenarnya,0.5,0.5
janji,0.75,0.25
Bagaimanapun,0.5,0.5
organisasi,0.0,1.0
menakjubkan,1.0,0.0
menyetir,0.1612903225806451,0.8387096774193549
cakram,0.0,1.0
bom,0.4,0.6
komentar,0.5,0.5
mendidihkan,0.2,0.8
menderita,0.7272727272727273,0.2727272727272727
buta,0.2857142857142857,0.7142857142857143
ancaman,0.5,0.5
tanggung jawab,0.6666666666666666,0.3333333333333333
kelelahan,0.1666666666666666,0.8333333333333334
sama sekali,0.6,0.4
ledakan,0.2,0.8
sedikit,0.7777777777777778,0.2222222222222222
membenci,1.0,0.0
pengaruh,0.4,0.6
mengakui,0.1428571428571428,0.8571428571428571
berarti,0.4285714285714285,0.5714285714285714
penting,0.25,0.75
miring,0.3333333333333333,0.6666666666666666
kepercayaan,1.0,0.0
dalam,0.4,0.6
Kanan,0.125,0.875
menyadari,0.3333333333333333,0.6666666666666666
pertimbangan,0.7142857142857143,0.2857142857142857
menyerang,0.2,0.8
nyata,0.3333333333333333,0.6666666666666666
ledakan,0.0,1.0
raksasa,0.2857142857142857,0.7142857142857143
pengekangan,0.125,0.875
paling,0.3333333333333333,0.6666666666666666
kotor,0.5,0.5
perbedaan,0.4,0.6
